,by,descendants,id,kids,score,time,title,type,url
0,caiobegotti,85,36892970,"[36894163, 36893496, 36893648, 36894164, 36893821, 36893606, 36893309, 36893427, 36893684, 36893833, 36893310, 36894261, 36893842, 36893398, 36893712, 36894359, 36893471, 36893578, 36893958, 36893364, 36893200, 36893670, 36893266]",103,1690463801,Wavy walls use fewer bricks than a straight wall (2020),story,https://twistedsifter.com/2020/06/how-wavy-crinkle-crankle-walls-use-less-bricks-than-straight-walls/
1,shortcrct,20,36893596,"[36894254, 36894415, 36894091, 36893812, 36893832, 36893830, 36894293, 36893885, 36894369]",25,1690466277,Emotionally Numb: Expertise Dulls Consumer Experience (2021),story,https://academic.oup.com/jcr/article/48/3/355/6171148
2,antidnan,22,36887816,"[36894027, 36892391, 36893019, 36894405, 36891960, 36891908, 36893465, 36892066, 36892351, 36892103]",107,1690422416,KernType – A Letter Spacing Game,story,https://type.method.ac/
3,mfiguiere,199,36891642,"[36892940, 36894124, 36894054, 36893416, 36893820, 36893556, 36892887, 36894435, 36893151, 36893227, 36893197, 36894387, 36893881, 36893826, 36894180, 36894346, 36892897, 36894461, 36893585, 36893128, 36894107, 36893389, 36893803, 36892997, 36893143, 36893693, 36893394, 36893847, 36892937, 36892863, 36892857, 36893026, 36892861, 36893438, 36893094, 36893350, 36893548]",286,1690454657,Tesla created secret team to suppress thousands of driving range complaints,story,https://www.reuters.com/investigates/special-report/tesla-batteries-range/
4,watusername,56,36889092,"[36892248, 36889283, 36890978, 36892080, 36889972, 36889254, 36890846, 36891332, 36889758]",164,1690433827,MacOS in QEMU – ARM edition [pdf],story,https://kvm-forum.qemu.org/media/2023/submissions/GDRJLK/resources/macOS_in_QEMU_on_ARM_FhJY65D.pdf
5,anderiv,198,36888954,"[36889237, 36890206, 36891020, 36889532, 36890730, 36889217, 36890682, 36889510, 36890202, 36893134, 36892149, 36889238, 36890327]",355,1690432436,Tarsnap outage postmortem,story,https://mail.tarsnap.com/tarsnap-announce/msg00050.html
6,illdave,18,36891735,"[36892921, 36893480, 36892893, 36892250, 36892595]",31,1690455369,How I test site speed changes using Chrome's local overrides (2021),story,https://tryblackbird.com/blog/local-overrides
7,lwhsiao,77,36888598,"[36893781, 36891031, 36889305, 36893791, 36893274, 36889334, 36893430, 36889110, 36892212, 36890059, 36893412, 36889784, 36889414, 36890041]",202,1690428841,"Depthboot – Your Chromebook, your way",story,https://eupnea-linux.github.io/
8,jacooper,18,36893654,"[36894350, 36894453, 36894381, 36894236, 36894331, 36894445, 36894431, 36894134]",44,1690466468,"Brave is a fork, not a Chromium reskinn",story,https://twitter.com/BrendanEich/status/1684561924191842304
9,behnamoh,273,36887091,"[36887744, 36887792, 36887220, 36891153, 36887136, 36891831, 36887851, 36889101, 36889677, 36887243, 36891427, 36892570, 36892979, 36891829, 36890476, 36887494, 36889228, 36890783, 36889167, 36887505, 36887878, 36888419, 36890615, 36887533, 36888409]",318,1690417306,"It's 2023, so of course I'm learning Common Lisp",story,https://log.schemescape.com/posts/programming-languages/learning-lisp-in-2023.html
